dt_sin_pri,notified,probable,lab_confirmed,acum_notified,acum_probable,acum_lab_confirmed
2010-01-07,1.5714285714285714,0.8571428571428571,0.2857142857142857,4.714285714285714,2.7142857142857144,1.1428571428571428
2010-01-08,1.8571428571428572,1.0,0.14285714285714285,6.571428571428571,3.7142857142857144,1.2857142857142858
2010-01-09,1.8571428571428572,1.0,0.14285714285714285,8.428571428571429,4.714285714285714,1.4285714285714286
2010-01-10,2.0,1.1428571428571428,0.14285714285714285,10.428571428571429,5.857142857142857,1.5714285714285714
2010-01-11,1.7142857142857142,0.8571428571428571,0.14285714285714285,12.142857142857142,6.714285714285714,1.7142857142857142
2010-01-12,2.4285714285714284,1.2857142857142858,0.5714285714285714,14.571428571428571,8.0,2.2857142857142856
2010-01-13,2.4285714285714284,1.4285714285714286,0.8571428571428571,17.0,9.428571428571429,3.142857142857143
2010-01-14,3.0,1.5714285714285714,1.0,20.0,11.0,4.142857142857143
2010-01-15,2.7142857142857144,1.2857142857142858,1.0,22.714285714285715,12.285714285714286,5.142857142857143
2010-01-16,3.2857142857142856,1.8571428571428572,1.4285714285714286,26.0,14.142857142857142,6.571428571428571
2010-01-17,3.857142857142857,2.0,1.7142857142857142,29.857142857142858,16.142857142857142,8.285714285714286
2010-01-18,4.857142857142857,2.142857142857143,1.7142857142857142,34.714285714285715,18.285714285714285,10.0
2010-01-19,4.428571428571429,2.0,1.5714285714285714,39.142857142857146,20.285714285714285,11.571428571428571
2010-01-20,4.571428571428571,2.0,1.4285714285714286,43.714285714285715,22.285714285714285,13.0
2010-01-21,4.714285714285714,2.4285714285714284,2.0,48.42857142857143,24.714285714285715,15.0
2010-01-22,4.857142857142857,2.7142857142857144,2.2857142857142856,53.285714285714285,27.428571428571427,17.285714285714285
2010-01-23,4.571428571428571,2.4285714285714284,2.0,57.857142857142854,29.857142857142858,19.285714285714285
2010-01-24,4.0,2.2857142857142856,1.7142857142857142,61.857142857142854,32.142857142857146,21.0
2010-01-25,3.2857142857142856,2.142857142857143,1.7142857142857142,65.14285714285714,34.285714285714285,22.714285714285715
2010-01-26,3.5714285714285716,2.4285714285714284,1.8571428571428572,68.71428571428571,36.714285714285715,24.571428571428573
2010-01-27,3.4285714285714284,2.7142857142857144,2.142857142857143,72.14285714285714,39.42857142857143,26.714285714285715
2010-01-28,3.2857142857142856,2.7142857142857144,1.5714285714285714,75.42857142857143,42.142857142857146,28.285714285714285
2010-01-29,3.142857142857143,2.4285714285714284,1.2857142857142858,78.57142857142857,44.57142857142857,29.571428571428573
2010-01-30,3.7142857142857144,2.7142857142857144,1.7142857142857142,82.28571428571429,47.285714285714285,31.285714285714285
2010-01-31,4.285714285714286,3.4285714285714284,2.142857142857143,86.57142857142857,50.714285714285715,33.42857142857143
2010-02-01,5.285714285714286,4.714285714285714,2.857142857142857,91.85714285714286,55.42857142857143,36.285714285714285
2010-02-02,5.285714285714286,4.857142857142857,2.857142857142857,97.14285714285714,60.285714285714285,39.142857142857146
2010-02-03,6.285714285714286,5.428571428571429,2.857142857142857,103.42857142857143,65.71428571428571,42.0
2010-02-04,6.0,4.714285714285714,2.7142857142857144,109.42857142857143,70.42857142857143,44.714285714285715
2010-02-05,6.857142857142857,5.714285714285714,3.4285714285714284,116.28571428571429,76.14285714285714,48.142857142857146
2010-02-06,6.857142857142857,5.857142857142857,3.142857142857143,123.14285714285714,82.0,51.285714285714285
2010-02-07,6.857142857142857,5.714285714285714,3.142857142857143,130.0,87.71428571428571,54.42857142857143
2010-02-08,7.142857142857143,5.428571428571429,3.0,137.14285714285714,93.14285714285714,57.42857142857143
2010-02-09,7.857142857142857,6.142857142857143,3.5714285714285716,145.0,99.28571428571429,61.0
2010-02-10,8.428571428571429,7.142857142857143,5.0,153.42857142857142,106.42857142857143,66.0
2010-02-11,10.285714285714286,9.285714285714286,6.428571428571429,163.71428571428572,115.71428571428571,72.42857142857143
2010-02-12,11.428571428571429,10.0,7.0,175.14285714285714,125.71428571428571,79.42857142857143
2010-02-13,12.285714285714286,10.857142857142858,7.714285714285714,187.42857142857142,136.57142857142858,87.14285714285714
2010-02-14,13.285714285714286,12.0,8.714285714285714,200.71428571428572,148.57142857142858,95.85714285714286
2010-02-15,14.142857142857142,12.714285714285714,9.571428571428571,214.85714285714286,161.28571428571428,105.42857142857143
2010-02-16,14.142857142857142,12.571428571428571,9.428571428571429,229.0,173.85714285714286,114.85714285714286
2010-02-17,13.857142857142858,11.857142857142858,8.571428571428571,242.85714285714286,185.71428571428572,123.42857142857143
2010-02-18,13.428571428571429,11.142857142857142,7.714285714285714,256.2857142857143,196.85714285714286,131.14285714285714
2010-02-19,14.0,11.142857142857142,7.714285714285714,270.2857142857143,208.0,138.85714285714286
2010-02-20,14.0,10.714285714285714,7.571428571428571,284.2857142857143,218.71428571428572,146.42857142857142
2010-02-21,15.428571428571429,11.714285714285714,8.142857142857142,299.7142857142857,230.42857142857142,154.57142857142858
2010-02-22,15.142857142857142,11.571428571428571,7.857142857142857,314.85714285714283,242.0,162.42857142857142
2010-02-23,17.428571428571427,13.142857142857142,9.285714285714286,332.2857142857143,255.14285714285714,171.71428571428572
2010-02-24,19.0,14.428571428571429,10.571428571428571,351.2857142857143,269.57142857142856,182.28571428571428
2010-02-25,20.0,15.0,11.285714285714286,371.2857142857143,284.57142857142856,193.57142857142858
2010-02-26,21.0,16.142857142857142,12.0,392.2857142857143,300.7142857142857,205.57142857142858
2010-02-27,23.714285714285715,18.142857142857142,12.857142857142858,416.0,318.85714285714283,218.42857142857142
2010-02-28,26.142857142857142,20.285714285714285,13.571428571428571,442.14285714285717,339.14285714285717,232.0
2010-03-01,29.857142857142858,23.0,14.857142857142858,472.0,362.14285714285717,246.85714285714286
2010-03-02,32.0,25.571428571428573,15.571428571428571,504.0,387.7142857142857,262.42857142857144
2010-03-03,35.857142857142854,28.857142857142858,16.428571428571427,539.8571428571429,416.57142857142856,278.85714285714283
2010-03-04,40.0,31.857142857142858,18.571428571428573,579.8571428571429,448.42857142857144,297.42857142857144
2010-03-05,44.0,35.142857142857146,21.142857142857142,623.8571428571429,483.57142857142856,318.57142857142856
2010-03-06,47.285714285714285,38.714285714285715,23.0,671.1428571428571,522.2857142857143,341.57142857142856
2010-03-07,51.57142857142857,41.285714285714285,24.0,722.7142857142857,563.5714285714286,365.57142857142856
2010-03-08,58.57142857142857,47.285714285714285,27.857142857142858,781.2857142857143,610.8571428571429,393.42857142857144
2010-03-09,61.142857142857146,47.857142857142854,27.285714285714285,842.4285714285714,658.7142857142857,420.7142857142857
2010-03-10,65.85714285714286,51.714285714285715,29.714285714285715,908.2857142857143,710.4285714285714,450.42857142857144
2010-03-11,67.14285714285714,53.285714285714285,29.714285714285715,975.4285714285714,763.7142857142857,480.14285714285717
2010-03-12,70.85714285714286,56.857142857142854,29.285714285714285,1046.2857142857142,820.5714285714286,509.42857142857144
2010-03-13,71.57142857142857,58.0,30.285714285714285,1117.857142857143,878.5714285714286,539.7142857142857
2010-03-14,72.57142857142857,58.857142857142854,31.571428571428573,1190.4285714285713,937.4285714285714,571.2857142857143
2010-03-15,75.0,60.857142857142854,31.714285714285715,1265.4285714285713,998.2857142857143,603.0
2010-03-16,80.0,66.57142857142857,35.857142857142854,1345.4285714285713,1064.857142857143,638.8571428571429
2010-03-17,81.57142857142857,68.71428571428571,37.285714285714285,1427.0,1133.5714285714287,676.1428571428571
2010-03-18,83.71428571428571,71.0,39.285714285714285,1510.7142857142858,1204.5714285714287,715.4285714285714
2010-03-19,81.71428571428571,69.71428571428571,40.285714285714285,1592.4285714285713,1274.2857142857142,755.7142857142857
2010-03-20,84.85714285714286,71.85714285714286,42.57142857142857,1677.2857142857142,1346.142857142857,798.2857142857143
2010-03-21,88.71428571428571,76.42857142857143,45.0,1766.0,1422.5714285714287,843.2857142857143
2010-03-22,90.28571428571429,78.0,46.142857142857146,1856.2857142857142,1500.5714285714287,889.4285714285714
2010-03-23,93.85714285714286,81.0,49.0,1950.142857142857,1581.5714285714287,938.4285714285714
2010-03-24,101.57142857142857,87.42857142857143,51.857142857142854,2051.714285714286,1669.0,990.2857142857143
2010-03-25,108.42857142857143,94.28571428571429,54.57142857142857,2160.1428571428573,1763.2857142857142,1044.857142857143
