dt_sin_pri,notified,probable,lab_confirmed,acum_notified,acum_probable,acum_lab_confirmed
2019-06-01,78.85714285714286,30.714285714285715,7.714285714285714,50148.142857142855,26591.14285714286,13097.857142857143
2019-06-02,76.14285714285714,24.714285714285715,8.714285714285714,50224.28571428572,26615.85714285714,13106.57142857143
2019-06-03,73.57142857142857,18.571428571428573,8.285714285714286,50297.857142857145,26634.428571428572,13114.857142857143
2019-06-04,69.14285714285714,14.571428571428571,8.428571428571429,50367.0,26649.0,13123.285714285714
2019-06-05,68.57142857142857,12.428571428571429,8.428571428571429,50435.57142857143,26661.428571428572,13131.714285714286
2019-06-06,68.85714285714286,11.571428571428571,8.0,50504.42857142857,26673.0,13139.714285714286
2019-06-07,68.57142857142857,11.714285714285714,7.142857142857143,50573.0,26684.714285714286,13146.857142857143
2019-06-08,71.57142857142857,12.714285714285714,7.142857142857143,50644.57142857143,26697.428571428572,13154.0
2019-06-09,69.14285714285714,13.571428571428571,6.285714285714286,50713.71428571428,26711.0,13160.285714285714
2019-06-10,67.85714285714286,13.857142857142858,6.428571428571429,50781.57142857143,26724.85714285714,13166.714285714286
2019-06-11,68.85714285714286,13.857142857142858,6.142857142857143,50850.42857142857,26738.714285714286,13172.857142857143
2019-06-12,71.42857142857143,14.142857142857142,5.285714285714286,50921.857142857145,26752.85714285714,13178.142857142857
2019-06-13,70.28571428571429,14.714285714285714,5.285714285714286,50992.142857142855,26767.571428571428,13183.42857142857
2019-06-14,68.14285714285714,15.857142857142858,5.714285714285714,51060.28571428572,26783.428571428572,13189.142857142857
2019-06-15,64.0,15.0,5.285714285714286,51124.28571428572,26798.428571428572,13194.42857142857
2019-06-16,59.0,13.142857142857142,4.714285714285714,51183.28571428572,26811.571428571428,13199.142857142857
2019-06-17,56.142857142857146,13.142857142857142,4.285714285714286,51239.42857142857,26824.714285714286,13203.42857142857
2019-06-18,51.57142857142857,12.857142857142858,3.857142857142857,51291.0,26837.571428571428,13207.285714285714
